xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
1.911;2.50119;2.50119;-4.3626;-4.3626;3.33903e-08;-4.0024e-07;0.016;4.28406e-07;3.56163e-08;4.26923e-07;5;9
1.927;2.43586;2.43586;-3.79818;-3.79818;1.64569e-08;-4.71145e-07;0.016;5.02861e-07;1.7554e-08;5.02554e-07;5;9
1.943;2.37979;2.37979;-3.20598;-3.20598;3.19438e-09;-5.3785e-07;0.016;5.73716e-07;3.40734e-09;5.73706e-07;5;9
1.959;2.33337;2.33337;-2.59368;-2.59368;-6.49567e-09;-5.93974e-07;0.016;6.33611e-07;6.92871e-09;6.33573e-07;5;9
1.975;2.29686;2.29686;-1.96832;-1.96832;-1.30487e-08;-6.35676e-07;0.016;6.78198e-07;1.39186e-08;6.78055e-07;5;9
1.991;2.27042;2.27042;-1.33625;-1.33625;-1.70937e-08;-6.61272e-07;0.016;7.05593e-07;1.82332e-08;7.05357e-07;5;9
2.007;2.25411;2.25411;-0.703267;-0.703266;-1.93383e-08;-6.70553e-07;0.016;7.15554e-07;2.06275e-08;7.15256e-07;5;9
2.023;2.24789;2.24789;-0.0746776;-0.074677;-2.04931e-08;-6.64065e-07;0.016;7.08674e-07;2.18593e-08;7.08336e-07;5;9
2.039;2.25167;2.25167;0.54453;0.54453;-2.12295e-08;-6.42548e-07;0.016;6.85758e-07;2.26448e-08;6.85384e-07;5;9
2.055;2.26524;2.26524;1.14955;1.14955;-2.21628e-08;-6.06609e-07;0.016;6.47482e-07;2.36403e-08;6.4705e-07;5;9
2.071;2.28835;2.28835;1.7356;1.7356;-2.38451e-08;-5.56673e-07;0.016;5.94329e-07;2.54347e-08;5.93785e-07;5;9
2.087;2.32066;2.32066;2.29783;2.29783;-2.67581e-08;-4.93161e-07;0.016;5.26812e-07;2.85419e-08;5.26039e-07;5;9
2.103;2.36173;2.36173;2.83122;2.83122;-3.12946e-08;-4.1685e-07;0.016;4.45892e-07;3.33809e-08;4.4464e-07;5;9
2.119;2.41107;2.41107;3.33055;3.33055;-3.77252e-08;-3.29312e-07;0.016;3.53563e-07;4.02402e-08;3.51266e-07;5;9
2.135;2.4681;2.4681;3.79043;3.79043;-4.61503e-08;-2.333e-07;0.016;2.53676e-07;4.9227e-08;2.48853e-07;5;9
2.151;2.53213;2.53213;4.20538;4.20538;-5.64471e-08;-1.32945e-07;0.016;1.54061e-07;6.02102e-08;1.41808e-07;5;9
2.167;2.6024;2.6024;4.56996;4.56996;-6.8224e-08;-3.36098e-08;0.016;8.11237e-08;7.27723e-08;3.58504e-08;5;9
2.183;2.67807;2.67807;4.87898;4.87898;-8.08035e-08;5.86691e-08;0.016;1.06513e-07;8.61904e-08;6.25804e-08;5;9
2.199;2.75821;2.75821;5.12773;5.12773;-9.32491e-08;1.38121e-07;0.016;1.77762e-07;9.94657e-08;1.47329e-07;5;9
2.215;2.84181;2.84181;5.31221;5.31221;-1.0445e-07;2.00384e-07;0.016;2.41038e-07;1.11414e-07;2.13743e-07;5;9
2.231;2.92784;2.92784;5.42941;5.42941;-1.13259e-07;2.43547e-07;0.016;2.86501e-07;1.2081e-07;2.59784e-07;5;9
2.247;3.01518;3.01519;5.47748;5.47748;-1.18662e-07;2.68739e-07;0.016;3.13355e-07;1.26573e-07;2.86655e-07;5;9
2.263;3.10274;3.10274;5.4559;5.4559;-1.19948e-07;2.8002e-07;0.016;3.24937e-07;1.27945e-07;2.98688e-07;5;9
2.279;3.18941;3.18941;5.36556;5.36556;-1.16834e-07;2.83531e-07;0.016;3.27104e-07;1.24623e-07;3.02433e-07;5;9
2.295;3.27409;3.27409;5.20871;5.20871;-1.09518e-07;2.86107e-07;0.016;3.26776e-07;1.16819e-07;3.05181e-07;5;9
2.311;3.35575;3.35575;4.98889;4.98889;-9.86409e-08;2.93763e-07;0.016;3.3054e-07;1.05217e-07;3.13347e-07;5;9
2.327;3.43342;3.43342;4.71074;4.71074;-8.51698e-08;3.10481e-07;0.016;3.43415e-07;9.08478e-08;3.3118e-07;5;9
2.343;3.50621;3.50621;4.37978;4.37978;-7.02339e-08;3.37616e-07;0.016;3.67834e-07;7.49162e-08;3.60124e-07;5;9
2.359;3.57332;3.57332;4.00217;4.00216;-5.49522e-08;3.73977e-07;0.016;4.03192e-07;5.86156e-08;3.98908e-07;5;9
2.375;3.63407;3.63407;3.58442;3.58441;-4.02887e-08;4.16455e-07;0.016;4.46293e-07;4.29746e-08;4.44219e-07;5;9
2.391;3.68785;3.68785;3.1332;3.1332;-2.69597e-08;4.60926e-07;0.016;4.92495e-07;2.8757e-08;4.91655e-07;5;9
2.407;3.73419;3.73419;2.65516;2.65516;-1.53959e-08;5.03126e-07;0.016;5.36919e-07;1.64223e-08;5.36668e-07;5;9
2.423;3.7727;3.7727;2.15673;2.15672;-5.75531e-09;5.39315e-07;0.016;5.75302e-07;6.139e-09;5.75269e-07;5;9
2.439;3.80312;3.80312;1.64408;1.64408;2.03291e-09;5.66634e-07;0.016;6.04413e-07;2.16844e-09;6.04409e-07;5;9
2.455;3.82527;3.82527;1.12309;1.12309;8.20835e-09;5.83189e-07;0.016;6.2213e-07;8.75557e-09;6.22068e-07;5;9
2.471;3.83905;3.83905;0.59931;0.59931;1.31188e-08;5.87935e-07;0.016;6.27287e-07;1.39934e-08;6.2713e-07;5;9
2.487;3.84446;3.84446;0.0780014;0.0780008;1.71673e-08;5.80473e-07;0.016;6.19442e-07;1.83118e-08;6.19172e-07;5;9
2.503;3.84158;3.84158;-0.435789;-0.43579;2.07706e-08;5.60853e-07;0.016;5.98653e-07;2.21553e-08;5.98243e-07;5;9
2.519;3.83058;3.83058;-0.937189;-0.937189;2.43269e-08;5.29432e-07;0.016;5.65324e-07;2.59487e-08;5.64728e-07;5;9
2.535;3.81169;3.81169;-1.42144;-1.42144;2.81911e-08;4.86838e-07;0.016;5.20163e-07;3.00705e-08;5.19293e-07;5;9
2.551;3.78521;3.78521;-1.88384;-1.88384;3.26523e-08;4.34003e-07;0.016;4.64245e-07;3.48292e-08;4.62936e-07;5;9
2.567;3.75154;3.75154;-2.31976;-2.31977;3.7912e-08;3.72268e-07;0.016;3.99139e-07;4.04395e-08;3.97085e-07;5;9
2.583;3.71115;3.71115;-2.72462;-2.72462;4.40613e-08;3.03477e-07;0.016;3.27103e-07;4.69987e-08;3.23709e-07;5;9
2.599;3.66455;3.66455;-3.09391;-3.09391;5.10602e-08;2.30029e-07;0.016;2.51336e-07;5.44642e-08;2.45364e-07;5;9
2.615;3.61235;3.61235;-3.42331;-3.42331;5.87226e-08;1.5481e-07;0.016;1.76612e-07;6.26374e-08;1.65131e-07;5;9
2.631;3.55524;3.55524;-3.70877;-3.70877;6.67135e-08;8.09915e-08;0.016;1.11925e-07;7.11611e-08;8.6391e-08;5;9
2.647;3.49393;3.49393;-3.9466;-3.9466;7.45647e-08;1.1681e-08;0.016;8.05057e-08;7.95357e-08;1.24598e-08;5;9
2.663;3.42922;3.42922;-4.13367;-4.13367;8.17128e-08;-5.0507e-08;0.016;1.02466e-07;8.71603e-08;5.38741e-08;5;9
2.679;3.36193;3.36193;-4.2675;-4.2675;8.75584e-08;-1.03876e-07;0.016;1.44912e-07;9.33957e-08;1.10801e-07;5;9
2.695;3.29295;3.29295;-4.34639;-4.34639;9.15408e-08;-1.47947e-07;0.016;1.85575e-07;9.76436e-08;1.5781e-07;5;9
2.711;3.22315;3.22315;-4.36955;-4.36955;9.32158e-08;-1.83536e-07;0.016;2.19574e-07;9.94302e-08;1.95772e-07;5;9
2.727;3.15342;3.15342;-4.33712;-4.33712;9.23219e-08;-2.12561e-07;0.016;2.47194e-07;9.84767e-08;2.26732e-07;5;9
2.743;3.08465;3.08465;-4.25022;-4.25022;8.88213e-08;-2.37609e-07;0.016;2.70579e-07;9.47428e-08;2.5345e-07;5;9
2.759;3.01769;3.01769;-4.11089;-4.11089;8.29062e-08;-2.6137e-07;0.016;2.92484e-07;8.84332e-08;2.78795e-07;5;9
