xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
3.327;2.37668;2.37668;5.02344;5.02343;-4.94938e-08;3.03025e-07;0.032;3.2751e-07;5.27934e-08;3.23227e-07;3;8
3.359;2.54077;2.54077;5.22527;5.22527;-9.28558e-08;3.57909e-07;0.032;3.94408e-07;9.90462e-08;3.81769e-07;3;8
3.391;2.71063;2.71063;5.38306;5.38306;-1.38155e-07;3.51982e-07;0.032;4.03333e-07;1.47365e-07;3.75448e-07;3;8
3.423;2.88475;2.88475;5.4909;5.4909;-1.78793e-07;2.75129e-07;0.032;3.49995e-07;1.90712e-07;2.93471e-07;3;8
3.455;3.06147;3.06147;5.54453;5.54453;-2.07834e-07;1.34474e-07;0.032;2.64047e-07;2.21689e-07;1.43439e-07;3;8
3.487;3.239;3.239;5.54177;5.54177;-2.198e-07;-4.45926e-08;0.032;2.3923e-07;2.34453e-07;4.75654e-08;3;8
3.519;3.41554;3.41554;5.48272;5.48272;-2.12269e-07;-2.24503e-07;0.032;3.29563e-07;2.2642e-07;2.3947e-07;3;8
3.551;3.58932;3.58932;5.3698;5.3698;-1.86627e-07;-3.66871e-07;0.032;4.39053e-07;1.99069e-07;3.91329e-07;3;8
3.583;3.75868;3.75868;5.20744;5.20744;-1.47653e-07;-4.44303e-07;0.032;4.99408e-07;1.57497e-07;4.73923e-07;3;8
3.615;3.92213;3.92213;5.00167;5.00167;-1.02098e-07;-4.47543e-07;0.032;4.89643e-07;1.08905e-07;4.77379e-07;3;8
3.647;4.0784;4.0784;4.75955;4.75955;-5.68732e-08;-3.85479e-07;0.032;4.15629e-07;6.06647e-08;4.11178e-07;3;8
3.679;4.22643;4.22643;4.48855;4.48855;-1.75055e-08;-2.79238e-07;0.032;2.98438e-07;1.86726e-08;2.97853e-07;3;8
3.711;4.36543;4.36543;4.19604;4.19604;1.26984e-08;-1.53903e-07;0.032;1.64721e-07;1.3545e-08;1.64163e-07;3;8
3.743;4.49482;4.49482;3.88884;3.88884;3.27182e-08;-3.14514e-08;0.032;4.84092e-08;3.48994e-08;3.35482e-08;3;9
3.775;4.61423;4.61423;3.57296;3.57296;4.33283e-08;7.31653e-08;0.032;9.07012e-08;4.62169e-08;7.8043e-08;4;9
3.807;4.72345;4.72345;3.25342;3.25341;4.63772e-08;1.5273e-07;0.032;1.70257e-07;4.9469e-08;1.62912e-07;4;9
3.839;4.82245;4.82245;2.93415;2.93415;4.41029e-08;2.06327e-07;0.032;2.25054e-07;4.70431e-08;2.20083e-07;4;9
3.871;4.91127;4.91127;2.61811;2.6181;3.86363e-08;2.37074e-07;0.032;2.56215e-07;4.12121e-08;2.52879e-07;4;9
3.903;4.99006;4.99006;2.30729;2.30729;3.17234e-08;2.49972e-07;0.032;2.68776e-07;3.38383e-08;2.66637e-07;4;9
3.935;5.05901;5.05901;2.00289;2.00289;2.46289e-08;2.50342e-07;0.032;2.6832e-07;2.62708e-08;2.67031e-07;4;9
3.967;5.11832;5.11832;1.70542;1.70542;1.81588e-08;2.42912e-07;0.032;2.59829e-07;1.93694e-08;2.59106e-07;4;9
3.999;5.16823;5.16823;1.4148;1.4148;1.27421e-08;2.3144e-07;0.032;2.47243e-07;1.35915e-08;2.46869e-07;4;9
4.031;5.20894;5.20894;1.13054;1.13054;8.52849e-09;2.18673e-07;0.032;2.33429e-07;9.09706e-09;2.33252e-07;4;9
4.063;5.24064;5.24064;0.851762;0.851762;5.47914e-09;2.06487e-07;0.032;2.20331e-07;5.84441e-09;2.20253e-07;4;9
4.095;5.2635;5.2635;0.577369;0.577369;3.43744e-09;1.96082e-07;0.032;2.09186e-07;3.6666e-09;2.09154e-07;4;9
4.127;5.27763;5.27763;0.306063;0.306063;2.17989e-09;1.88181e-07;0.032;2.0074e-07;2.32522e-09;2.00726e-07;4;9
4.159;5.2831;5.2831;0.0364301;0.0364299;1.44864e-09;1.83188e-07;0.032;1.95406e-07;1.54522e-09;1.954e-07;4;9
4.191;5.27996;5.27996;-0.233002;-0.233002;9.70481e-10;1.81299e-07;0.032;1.93389e-07;1.03518e-09;1.93386e-07;4;9
4.223;5.26818;5.26818;-0.503712;-0.503713;4.67219e-10;1.8257e-07;0.032;1.94742e-07;4.98367e-10;1.94742e-07;4;9
4.255;5.24769;5.24769;-0.777136;-0.777136;-3.37852e-10;1.86929e-07;0.032;1.99391e-07;3.60376e-10;1.99391e-07;4;9
4.287;5.2184;5.2184;-1.05461;-1.05461;-1.71282e-09;1.94145e-07;0.032;2.07096e-07;1.82701e-09;2.07088e-07;4;9
4.319;5.18014;5.18014;-1.33729;-1.33729;-3.90472e-09;2.03759e-07;0.032;2.17383e-07;4.16503e-09;2.17343e-07;4;9
4.351;5.13275;5.13275;-1.62612;-1.62612;-7.11705e-09;2.1495e-07;0.032;2.29406e-07;7.59152e-09;2.2928e-07;4;9
4.383;5.076;5.076;-1.92171;-1.92171;-1.14724e-08;2.26376e-07;0.032;2.41778e-07;1.22373e-08;2.41468e-07;4;9
4.415;5.00968;5.00968;-2.22426;-2.22426;-1.69564e-08;2.35977e-07;0.032;2.52358e-07;1.80868e-08;2.51709e-07;4;9
4.447;4.93358;4.93358;-2.53343;-2.53343;-2.33406e-08;2.40805e-07;0.032;2.58062e-07;2.48966e-08;2.56858e-07;4;9
4.479;4.84748;4.84748;-2.84822;-2.84822;-3.00904e-08;2.3695e-07;0.032;2.54777e-07;3.20964e-08;2.52747e-07;4;9
4.511;4.75125;4.75125;-3.16686;-3.16686;-3.62705e-08;2.19708e-07;0.032;2.37527e-07;3.86886e-08;2.34355e-07;4;9
4.543;4.64479;4.64479;-3.48668;-3.48668;-4.04794e-08;1.84148e-07;0.032;2.01114e-07;4.3178e-08;1.96425e-07;4;9
4.575;4.52813;4.52813;-3.804;-3.804;-4.08596e-08;1.26259e-07;0.032;1.41553e-07;4.35835e-08;1.34676e-07;4;9
4.607;4.40141;4.40141;-4.1141;-4.1141;-3.52474e-08;4.47264e-08;0.032;6.07423e-08;3.75973e-08;4.77082e-08;4;9
4.639;4.26496;4.26496;-4.41123;-4.41123;-2.15186e-08;-5.68867e-08;0.032;6.48754e-08;2.29532e-08;6.06792e-08;4;9
4.671;4.1193;4.1193;-4.68876;-4.68876;1.84999e-09;-1.68211e-07;0.032;1.79436e-07;1.97332e-09;1.79426e-07;4;9
4.703;3.96517;3.96517;-4.93944;-4.93944;3.50693e-08;-2.71523e-07;0.032;2.9203e-07;3.74073e-08;2.89624e-07;4;9
4.735;3.80354;3.80354;-5.15576;-5.15576;7.63668e-08;-3.43822e-07;0.032;3.75681e-07;8.1458e-08;3.66743e-07;4;9
