xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
2.479;10.1001;10.1001;-2.7406;-2.7406;4.25445e-08;-1.51817e-07;0.032;1.68177e-07;4.53808e-08;1.61938e-07;2;7
2.511;10.0107;10.0107;-2.83993;-2.83993;5.14955e-08;-1.80977e-07;0.032;2.00705e-07;5.49286e-08;1.93042e-07;2;7
2.543;9.91859;9.91859;-2.9123;-2.9123;5.98633e-08;-2.02858e-07;0.032;2.25607e-07;6.38541e-08;2.16382e-07;2;7
2.575;9.82461;9.82461;-2.95658;-2.95658;6.68596e-08;-2.16122e-07;0.032;2.41309e-07;7.13169e-08;2.3053e-07;2;7
2.607;9.72967;9.72967;-2.97205;-2.97205;7.17478e-08;-2.20472e-07;0.032;2.4731e-07;7.6531e-08;2.35171e-07;2;7
2.639;9.63471;9.63471;-2.95851;-2.95851;7.39535e-08;-2.16762e-07;0.032;2.44299e-07;7.88837e-08;2.31213e-07;2;7
2.671;9.54064;9.54064;-2.91628;-2.91628;7.31584e-08;-2.06851e-07;0.032;2.34034e-07;7.80356e-08;2.20641e-07;2;7
2.703;9.44836;9.44836;-2.84623;-2.84623;6.93537e-08;-1.93241e-07;0.032;2.18997e-07;7.39773e-08;2.06124e-07;2;7
2.735;9.35876;9.35876;-2.74976;-2.74976;6.28403e-08;-1.78589e-07;0.032;2.01943e-07;6.70296e-08;1.90495e-07;2;7
2.767;9.27264;9.27264;-2.62871;-2.62871;5.41758e-08;-1.65216e-07;0.032;1.85463e-07;5.77875e-08;1.7623e-07;2;7
2.799;9.19076;9.19076;-2.48532;-2.48532;4.40829e-08;-1.5475e-07;0.032;1.71634e-07;4.70218e-08;1.65067e-07;2;7
2.831;9.11379;9.11379;-2.32212;-2.32212;3.33397e-08;-1.47961e-07;0.032;1.61782e-07;3.55623e-08;1.57825e-07;2;7
2.863;9.04233;9.04233;-2.14179;-2.14179;2.26758e-08;-1.44796e-07;0.032;1.56332e-07;2.41875e-08;1.54449e-07;2;7
2.895;8.97687;8.97687;-1.94713;-1.94713;1.26935e-08;-1.44573e-07;0.032;1.54804e-07;1.35397e-08;1.54211e-07;2;7
2.927;8.91783;8.91783;-1.74092;-1.74092;3.82198e-09;-1.46238e-07;0.032;1.5604e-07;4.07678e-09;1.55987e-07;2;7
2.959;8.86554;8.86554;-1.52587;-1.52587;-3.69384e-09;-1.48628e-07;0.032;1.58585e-07;3.94009e-09;1.58536e-07;2;7
2.991;8.82024;8.82024;-1.30456;-1.30456;-9.77767e-09;-1.50671e-07;0.032;1.61054e-07;1.04295e-08;1.60716e-07;2;7
3.023;8.78209;8.78209;-1.07939;-1.07939;-1.44888e-08;-1.5151e-07;0.032;1.62347e-07;1.54547e-08;1.6161e-07;2;7
3.055;8.75118;8.75118;-0.852608;-0.852608;-1.79823e-08;-1.50545e-07;0.032;1.61722e-07;1.91811e-08;1.60581e-07;2;7
3.087;8.72752;8.72752;-0.626244;-0.626244;-2.04702e-08;-1.47425e-07;0.032;1.58762e-07;2.18349e-08;1.57253e-07;2;7
3.119;8.71108;8.71108;-0.402168;-0.402168;-2.21887e-08;-1.42e-07;0.032;1.53305e-07;2.3668e-08;1.51467e-07;2;7
3.151;8.70174;8.70174;-0.182082;-0.182082;-2.33742e-08;-1.34266e-07;0.032;1.45371e-07;2.49324e-08;1.43217e-07;2;7
3.183;8.69936;8.69936;0.0324503;0.0324504;-2.42457e-08;-1.2431e-07;0.032;1.35096e-07;2.58621e-08;1.32598e-07;2;7
3.215;8.70374;8.70374;0.239981;0.239981;-2.49959e-08;-1.12277e-07;0.032;1.22694e-07;2.66623e-08;1.19762e-07;2;7
3.247;8.71463;8.71463;0.439158;0.439158;-2.57843e-08;-9.83461e-08;0.032;1.08448e-07;2.75033e-08;1.04902e-07;2;7
3.279;8.73175;8.73175;0.628704;0.628704;-2.67348e-08;-8.27295e-08;0.032;9.27382e-08;2.85171e-08;8.82448e-08;2;7
3.311;8.75475;8.75475;0.807403;0.807403;-2.79329e-08;-6.56791e-08;0.032;7.61303e-08;2.97951e-08;7.00577e-08;2;7
3.343;8.78329;8.78329;0.974094;0.974094;-2.94244e-08;-4.7499e-08;0.032;5.95994e-08;3.1386e-08;5.06656e-08;2;7
3.375;8.81696;8.81696;1.12767;1.12767;-3.12131e-08;-2.85572e-08;0.032;4.51261e-08;3.3294e-08;3.0461e-08;2;8
3.439;8.89789;8.89789;1.39134;1.39134;-1.09962e-06;-2.22469e-07;0.064;1.1967e-06;1.17293e-06;2.373e-07;2;8
3.471;8.94419;8.94419;1.49957;1.49957;-3.77663e-08;2.82291e-08;0.032;5.02939e-08;4.0284e-08;3.0111e-08;3;8
3.503;8.99368;8.99368;1.59101;1.59101;-3.9953e-08;4.54358e-08;0.032;6.45368e-08;4.26165e-08;4.84648e-08;3;8
3.535;9.04582;9.04582;1.665;1.665;-4.18714e-08;6.09708e-08;0.032;7.88948e-08;4.46628e-08;6.50356e-08;3;8
3.567;9.10005;9.10005;1.72109;1.72109;-4.33417e-08;7.44729e-08;0.032;9.19113e-08;4.62312e-08;7.94378e-08;3;8
3.599;9.15578;9.15578;1.75898;1.75898;-4.41949e-08;8.57238e-08;0.032;1.02875e-07;4.71412e-08;9.14387e-08;3;8
3.631;9.21243;9.21243;1.77861;1.77861;-4.42901e-08;9.46709e-08;0.032;1.11487e-07;4.72427e-08;1.00982e-07;3;8
3.663;9.26942;9.26942;1.78012;1.78012;-4.35307e-08;1.01427e-07;0.032;1.17732e-07;4.64327e-08;1.08189e-07;3;8
3.695;9.32617;9.32617;1.76388;1.76388;-4.18756e-08;1.06246e-07;0.032;1.21814e-07;4.46673e-08;1.13329e-07;3;8
3.727;9.38212;9.38212;1.73048;1.73048;-3.93445e-08;1.09475e-07;0.032;1.24086e-07;4.19674e-08;1.16774e-07;3;8
3.759;9.43674;9.43674;1.68072;1.68072;-3.60154e-08;1.11504e-07;0.032;1.24988e-07;3.84164e-08;1.18938e-07;3;8
3.791;9.48952;9.48952;1.61562;1.61562;-3.20165e-08;1.12702e-07;0.032;1.24972e-07;3.4151e-08;1.20216e-07;3;8
3.823;9.53999;9.53999;1.53633;1.53633;-2.75118e-08;1.13372e-07;0.032;1.2444e-07;2.93459e-08;1.2093e-07;3;8
3.855;9.58771;9.58771;1.44418;1.44418;-2.26841e-08;1.13721e-07;0.032;1.23692e-07;2.41964e-08;1.21303e-07;3;8
3.887;9.6323;9.6323;1.34058;1.34058;-1.77178e-08;1.13848e-07;0.032;1.229e-07;1.8899e-08;1.21438e-07;3;8
3.919;9.6734;9.6734;1.22703;1.22703;-1.27829e-08;1.1375e-07;0.032;1.22097e-07;1.36351e-08;1.21333e-07;3;8
3.951;9.71074;9.71074;1.10508;1.10508;-8.0236e-09;1.13343e-07;0.032;1.21201e-07;8.55851e-09;1.20899e-07;3;8
3.983;9.74405;9.74405;0.976296;0.976296;-3.55071e-09;1.12491e-07;0.032;1.2005e-07;3.78742e-09;1.19991e-07;3;8
4.015;9.77316;9.77316;0.84223;0.84223;5.61318e-10;1.11036e-07;0.032;1.1844e-07;5.98739e-10;1.18438e-07;3;8
4.047;9.79792;9.79792;0.704413;0.704413;4.27307e-09;1.08821e-07;0.032;1.16165e-07;4.55794e-09;1.16075e-07;3;8
4.079;9.81822;9.81822;0.564328;0.564328;7.57604e-09;1.05711e-07;0.032;1.13048e-07;8.08111e-09;1.12759e-07;3;8
4.111;9.83403;9.83403;0.423404;0.423404;1.04865e-08;1.0161e-07;0.032;1.0896e-07;1.11856e-08;1.08384e-07;3;8
4.143;9.84532;9.84532;0.283005;0.283005;1.30387e-08;9.64607e-08;0.032;1.03827e-07;1.39079e-08;1.02891e-07;3;8
4.175;9.85216;9.85216;0.144425;0.144425;1.52774e-08;9.02518e-08;0.032;9.76381e-08;1.62959e-08;9.62686e-08;3;8
4.207;9.8546;9.8546;0.00888535;0.00888527;1.7252e-08;8.30131e-08;0.032;9.04392e-08;1.84021e-08;8.85473e-08;3;8
4.239;9.85277;9.85277;-0.122467;-0.122467;1.90103e-08;7.48132e-08;0.032;8.23368e-08;2.02776e-08;7.98008e-08;3;8
4.271;9.84682;9.84682;-0.248561;-0.248561;2.05946e-08;6.57553e-08;0.032;7.34987e-08;2.19675e-08;7.0139e-08;3;8
4.303;9.83693;9.83693;-0.368399;-0.368399;2.20378e-08;5.59721e-08;0.032;6.41646e-08;2.3507e-08;5.97036e-08;3;8
4.335;9.82332;9.82332;-0.481062;-0.481062;2.33616e-08;4.56214e-08;0.032;5.4672e-08;2.49191e-08;4.86628e-08;3;8
4.367;9.80623;9.80623;-0.585711;-0.585711;2.45749e-08;3.48806e-08;0.032;4.55128e-08;2.62132e-08;3.7206e-08;3;9
4.431;9.76271;9.76271;-0.768023;-0.768024;8.32228e-07;7.19796e-07;0.064;1.17368e-06;8.8771e-07;7.67783e-07;3;9
4.495;9.70878;9.70878;-0.910355;-0.910355;8.87754e-07;3.28017e-08;0.064;9.47584e-07;9.46938e-07;3.49885e-08;3;9
4.559;9.64711;9.64711;-1.00929;-1.00929;9.17465e-07;-6.0362e-07;0.064;1.17144e-06;9.7863e-07;6.43861e-07;3;9
4.623;9.58055;9.58055;-1.06316;-1.06316;9.1206e-07;-1.15319e-06;0.064;1.56829e-06;9.72864e-07;1.23007e-06;3;9
4.655;9.54634;9.54634;-1.07319;-1.07319;2.70935e-08;-4.96389e-08;0.032;6.03217e-08;2.88997e-08;5.29482e-08;4;9
4.687;9.51199;9.51199;-1.07218;-1.07218;2.59098e-08;-5.54047e-08;0.032;6.52413e-08;2.76371e-08;5.90984e-08;4;9
4.719;9.47784;9.47784;-1.06044;-1.06044;2.43919e-08;-6.03207e-08;0.032;6.94034e-08;2.60181e-08;6.43421e-08;4;9
4.751;9.44423;9.44423;-1.03841;-1.03841;2.25646e-08;-6.44317e-08;0.032;7.28198e-08;2.40689e-08;6.87271e-08;4;9
4.783;9.41148;9.41148;-1.00662;-1.00662;2.04647e-08;-6.77912e-08;0.032;7.55336e-08;2.1829e-08;7.23106e-08;4;9
4.815;9.3799;9.3799;-0.9657;-0.9657;1.81391e-08;-7.04529e-08;0.032;7.76005e-08;1.93484e-08;7.51497e-08;4;9
4.847;9.34977;9.34977;-0.916354;-0.916353;1.56416e-08;-7.24636e-08;0.032;7.90747e-08;1.66843e-08;7.72945e-08;4;9
4.879;9.32134;9.32134;-0.859361;-0.859361;1.30287e-08;-7.3859e-08;0.032;7.99993e-08;1.38973e-08;7.87829e-08;4;9
4.911;9.29484;9.29484;-0.795556;-0.795556;1.03572e-08;-7.46617e-08;0.032;8.04018e-08;1.10477e-08;7.96391e-08;4;9
4.943;9.27048;9.27048;-0.725817;-0.725817;7.68004e-09;-7.48818e-08;0.032;8.02929e-08;8.19204e-09;7.98739e-08;4;9
4.975;9.24844;9.24844;-0.651053;-0.651053;5.04467e-09;-7.45192e-08;0.032;7.96691e-08;5.38098e-09;7.94872e-08;4;9
5.007;9.22886;9.22886;-0.572189;-0.572189;2.49089e-09;-7.35675e-08;0.032;7.8517e-08;2.65695e-09;7.8472e-08;4;9
5.039;9.21186;9.21186;-0.490156;-0.490156;5.01839e-11;-7.20182e-08;0.032;7.68194e-08;5.35294e-11;7.68194e-08;4;9
5.071;9.19751;9.19751;-0.405883;-0.405883;-2.25443e-09;-6.98652e-08;0.032;7.45617e-08;2.40472e-09;7.45229e-08;4;9
5.103;9.18589;9.18589;-0.320281;-0.320281;-4.40778e-09;-6.71084e-08;0.032;7.17366e-08;4.70163e-09;7.15823e-08;4;9
5.135;9.17702;9.17702;-0.234241;-0.234241;-6.40148e-09;-6.37571e-08;0.032;6.83495e-08;6.82824e-09;6.80076e-08;4;9
5.167;9.1709;9.1709;-0.148623;-0.148623;-8.23253e-09;-5.98315e-08;0.032;6.44215e-08;8.78137e-09;6.38202e-08;4;9
5.199;9.1675;9.1675;-0.0642532;-0.0642532;-9.90179e-09;-5.53641e-08;0.032;5.99921e-08;1.05619e-08;5.90551e-08;4;9
5.231;9.16676;9.16676;0.0180854;0.0180855;-1.14124e-08;-5.04002e-08;0.032;5.51212e-08;1.21732e-08;5.37602e-08;4;9
5.263;9.16862;9.16862;0.0976549;0.0976549;-1.27683e-08;-4.49965e-08;0.032;4.98913e-08;1.36196e-08;4.79963e-08;4;10
5.327;9.1797;9.1797;0.245786;0.245787;-4.5317e-07;-1.22725e-06;0.064;1.39546e-06;4.83381e-07;1.30907e-06;4;10
5.391;9.19968;9.19969;0.3753;0.375301;-5.14957e-07;-8.31122e-07;0.064;1.04291e-06;5.49288e-07;8.8653e-07;4;10
5.455;9.22726;9.22726;0.482313;0.482313;-5.57475e-07;-4.20616e-07;0.064;7.44909e-07;5.9464e-07;4.48657e-07;4;10
5.519;9.26088;9.26088;0.563985;0.563985;-5.79604e-07;-1.78396e-08;0.064;6.18537e-07;6.18244e-07;1.90289e-08;4;10
5.583;9.29887;9.29887;0.61859;0.61859;-5.79887e-07;3.57371e-07;0.064;7.26574e-07;6.18546e-07;3.81196e-07;4;10
5.647;9.33947;9.33947;0.645544;0.645543;-5.57356e-07;6.89495e-07;0.064;9.457e-07;5.94513e-07;7.35461e-07;4;10
5.711;9.38092;9.38092;0.645397;0.645396;-5.1234e-07;9.68262e-07;0.064;1.16849e-06;5.46496e-07;1.03281e-06;4;10
5.775;9.42153;9.42153;0.619767;0.619766;-4.46956e-07;1.18834e-06;0.064;1.35425e-06;4.76753e-07;1.26756e-06;4;10
5.839;9.45976;9.45976;0.571224;0.571223;-3.65109e-07;1.34805e-06;0.064;1.48973e-06;3.8945e-07;1.43792e-06;4;10
5.903;9.49423;9.49423;0.503119;0.503118;-2.72016e-07;1.44788e-06;0.064;1.57142e-06;2.9015e-07;1.5444e-06;4;10
5.967;9.52382;9.52382;0.419391;0.419389;-1.7343e-07;1.48925e-06;0.064;1.59927e-06;1.84992e-07;1.58853e-06;4;10
6.031;9.54767;9.54767;0.32435;0.324348;-7.48475e-08;1.47409e-06;0.064;1.57439e-06;7.98373e-08;1.57236e-06;4;10
6.095;9.56519;9.56519;0.22247;0.222468;1.90903e-08;1.40505e-06;0.064;1.49886e-06;2.0363e-08;1.49872e-06;4;10
6.159;9.57609;9.57609;0.118194;0.118192;1.04875e-07;1.28606e-06;0.064;1.37635e-06;1.11867e-07;1.37179e-06;4;10
6.223;9.58036;9.58036;0.0157603;0.0157592;1.80101e-07;1.12286e-06;0.064;1.21302e-06;1.92108e-07;1.19772e-06;4;10
6.287;9.57824;9.57823;-0.0809387;-0.0809396;2.43228e-07;9.23276e-07;0.064;1.01843e-06;2.59443e-07;9.84828e-07;4;10
6.351;9.5702;9.5702;-0.16848;-0.16848;2.93283e-07;6.97025e-07;0.064;8.06628e-07;3.12835e-07;7.43494e-07;4;10
6.415;9.55693;9.55693;-0.244001;-0.244001;3.29613e-07;4.5515e-07;0.064;5.9943e-07;3.51587e-07;4.85493e-07;4;10
6.479;9.53927;9.53927;-0.305275;-0.305275;3.51766e-07;2.09191e-07;0.064;4.36553e-07;3.75218e-07;2.23138e-07;4;10
6.543;9.51819;9.51819;-0.350757;-0.350757;3.59517e-07;-2.97238e-08;0.064;3.84793e-07;3.83485e-07;3.17054e-08;4;10
